Mes;Provincia;Municipio;Habitantes2021;Paro.Agricultura;Paro.Industria;Paro.Construcción;Paro.Servicios;ParoTotal;ParoMayoritario;Porcentaje_Paro_Municipio
1;Alicante/Alacant;Aspe;21088;417;408;214;1086;2318;Servicios;10,99
2;Alicante/Alacant;Aspe;21088;414;400;208;1105;2318;Servicios;10,99
3;Alicante/Alacant;Aspe;21088;407;388;198;1078;2269;Servicios;10,76
4;Alicante/Alacant;Aspe;21088;413;386;195;1073;2283;Servicios;10,83
5;Alicante/Alacant;Aspe;21088;359;361;180;1046;2145;Servicios;10,17
6;Alicante/Alacant;Aspe;21088;346;349;176;1054;2115;Servicios;10,03
7;Alicante/Alacant;Aspe;21088;354;346;177;1075;2145;Servicios;10,17
8;Alicante/Alacant;Aspe;21088;337;349;188;1118;2189;Servicios;10,38
9;Alicante/Alacant;Aspe;21088;296;335;180;1090;2100;Servicios;9,96
10;Alicante/Alacant;Aspe;21088;285;336;183;1094;2097;Servicios;9,94
11;Alicante/Alacant;Aspe;21088;284;307;170;1032;1985;Servicios;9,41
12;Alicante/Alacant;Aspe;21088;325;302;177;998;1971;Servicios;9,35
1;Alicante/Alacant;Balones;134;0;1;2;9;12;Servicios;8,96
2;Alicante/Alacant;Balones;134;0;1;2;10;13;Servicios;9,7
3;Alicante/Alacant;Balones;134;0;1;2;12;15;Servicios;11,19
4;Alicante/Alacant;Balones;134;0;3;2;10;15;Servicios;11,19
5;Alicante/Alacant;Balones;134;0;1;2;12;15;Servicios;11,19
6;Alicante/Alacant;Balones;134;0;1;2;18;21;Servicios;15,67
7;Alicante/Alacant;Balones;134;0;1;2;15;18;Servicios;13,43
8;Alicante/Alacant;Balones;134;0;1;2;16;19;Servicios;14,18
9;Alicante/Alacant;Balones;134;0;1;2;18;21;Servicios;15,67
10;Alicante/Alacant;Balones;134;0;1;2;16;19;Servicios;14,18
11;Alicante/Alacant;Balones;134;0;1;2;11;14;Servicios;10,45
12;Alicante/Alacant;Balones;134;0;1;1;10;12;Servicios;8,96
1;Alicante/Alacant;Banyeres de Mariola;7113;9;144;8;203;397;Servicios;5,58
2;Alicante/Alacant;Banyeres de Mariola;7113;10;151;7;211;411;Servicios;5,78
3;Alicante/Alacant;Banyeres de Mariola;7113;10;145;6;207;400;Servicios;5,62
4;Alicante/Alacant;Banyeres de Mariola;7113;9;141;5;205;393;Servicios;5,53
5;Alicante/Alacant;Banyeres de Mariola;7113;8;134;5;203;383;Servicios;5,38
6;Alicante/Alacant;Banyeres de Mariola;7113;9;133;5;210;390;Servicios;5,48
7;Alicante/Alacant;Banyeres de Mariola;7113;9;143;6;212;403;Servicios;5,67
8;Alicante/Alacant;Banyeres de Mariola;7113;8;166;10;219;434;Servicios;6,1
9;Alicante/Alacant;Banyeres de Mariola;7113;8;159;7;208;410;Servicios;5,76
10;Alicante/Alacant;Banyeres de Mariola;7113;9;148;9;206;399;Servicios;5,61
11;Alicante/Alacant;Banyeres de Mariola;7113;10;149;9;205;400;Servicios;5,62
12;Alicante/Alacant;Banyeres de Mariola;7113;9;140;9;187;371;Servicios;5,22
1;Alicante/Alacant;Benasau;170;0;0;0;7;7;Servicios;4,12
2;Alicante/Alacant;Benasau;170;0;0;0;7;7;Servicios;4,12
3;Alicante/Alacant;Benasau;170;0;1;0;7;8;Servicios;4,71
4;Alicante/Alacant;Benasau;170;0;1;0;7;8;Servicios;4,71
5;Alicante/Alacant;Benasau;170;0;1;0;8;9;Servicios;5,29
6;Alicante/Alacant;Benasau;170;0;0;0;8;8;Servicios;4,71
7;Alicante/Alacant;Benasau;170;0;0;0;8;8;Servicios;4,71
8;Alicante/Alacant;Benasau;170;0;0;0;11;11;Servicios;6,47
9;Alicante/Alacant;Benasau;170;0;0;0;10;10;Servicios;5,88
10;Alicante/Alacant;Benasau;170;0;0;0;9;9;Servicios;5,29
11;Alicante/Alacant;Benasau;170;0;0;0;8;8;Servicios;4,71
12;Alicante/Alacant;Benasau;170;0;0;0;9;9;Servicios;5,29
1;Alicante/Alacant;Beneixama;1707;11;20;2;44;81;Servicios;4,75
